"";"Q1";"Q2";"Q3";"Q4";"Q5";"Q6";"Q7";"Q8";"Q9";"Q10";"Q11";"Q12";"Q13";"Q14";"Q15";"Q16";"Q17";"Q18";"Q19";"Q20";"Q21";"Q22";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"E18";"E19";"E20";"E21";"E22";"introelapse";"testelapse";"surveyelapse";"TIPI1";"TIPI2";"TIPI3";"TIPI4";"TIPI5";"TIPI6";"TIPI7";"TIPI8";"TIPI9";"TIPI10";"VCL1";"VCL2";"VCL3";"VCL4";"VCL5";"VCL6";"VCL7";"VCL8";"VCL9";"VCL10";"VCL11";"VCL12";"VCL13";"VCL14";"VCL15";"VCL16";"IP_country";"education";"urban";"gender";"engnat";"age";"screenw";"screenh";"hand";"religion";"orientation";"race";"voted";"married";"familysize";"surveyaccurate";"major";"extr";"neur";"amab";"cons";"aber";"rv";"auth"
"11";2;1;2;9;2;9;2;6;8;1;9;4;7;2;8;1;1;9;2;8;9;2;18002;10639;9156;6563;18799;15652;7420;9584;8918;6908;7980;8582;9487;12065;11690;14019;14376;10913;11328;19118;14223;14791;5;262;282;6;2;5;7;6;6;6;3;3;5;1;1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;"US";3;2;2;1;30;1024;455;1;1;1;4;1;1;2;1;"liberal arts";6;4;5;4;5,5;11;101
"12";3;6;5;2;3;3;6;6;8;6;5;7;2;6;4;6;6;5;3;4;7;4;16878;8298;12422;6659;17097;10549;11654;6629;9564;11321;8465;5275;17428;7181;10565;11336;11822;8731;9765;6344;7479;7446;2;224;110;3;6;7;4;6;3;4;6;2;4;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;"US";3;2;1;1;58;1440;900;1;7;1;4;2;2;1;1;"Yes";3;5;3;6,5;5;13;98
"13";8;8;8;4;9;4;9;6;1;7;2;7;1;9;2;3;7;1;9;2;1;7;5712;2639;6272;2843;4051;2371;3032;4324;2808;4863;2815;6151;1767;2937;2375;5920;7750;4352;2423;2207;2416;4678;6;86;73;5;3;7;1;6;2;1;7;2;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;"US";2;1;1;1;14;1366;768;1;4;1;4;1;1;3;1;"";3,5;2;1,5;7;6,5;16;99
"14";3;1;2;7;2;7;3;7;7;4;8;2;4;6;4;5;4;9;3;7;4;3;12502;4750;8042;4364;8874;10458;9168;8153;5128;9982;4867;4259;19273;4649;9745;7666;12040;3964;6119;4036;6375;7155;7;170;99;1;6;6;5;6;1;2;6;2;6;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;1;"US";2;2;2;1;17;1024;768;1;1;1;4;2;1;2;1;"";1;4;3,5;6;6;10;98
"15";2;1;3;9;3;8;3;5;5;5;8;2;8;3;5;2;4;9;4;8;8;6;16577;4630;9585;6783;8460;18149;13916;7344;7664;9680;4520;7312;11944;10912;11452;6768;21800;9809;12743;7988;12321;9775;3;231;152;1;3;1;7;4;2;5;1;7;4;1;1;0;1;1;0;0;0;0;1;0;0;0;0;1;1;"US";1;1;2;1;48;1280;768;1;7;1;4;2;3;3;1;"";1,5;4;7;1;4;7;108
"16";9;5;5;9;2;9;1;9;9;1;9;1;9;9;9;1;1;6;2;9;5;7;8174;3557;7036;4586;8564;4665;4071;3713;8237;3697;4555;3776;9874;2902;8315;4929;3510;10889;9079;5710;4243;8502;461;134;100;5;1;7;7;7;1;4;3;3;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;1;1;"US";2;3;1;1;17;853;683;3;9;1;4;2;1;2;1;"";3;2,5;5;5;4;9;113
"17";3;1;1;9;1;8;1;9;9;1;9;3;7;3;9;1;1;9;1;6;9;1;8854;3381;4764;5354;6702;6812;7914;3022;3892;5513;4568;6155;8485;10319;7072;6802;4992;9192;6099;4841;4920;8137;3;139;110;2;3;5;2;7;1;5;3;3;7;1;1;1;1;1;0;0;0;0;1;0;0;1;1;1;1;"US";3;2;1;1;25;1440;900;1;2;1;4;2;1;3;1;"Economics";1,5;4;2,5;4;7;10;98
"18";2;1;4;9;1;8;3;3;9;3;9;4;9;3;8;2;2;9;2;9;6;7;6751;10000;19573;5240;9297;10439;20028;9000;11983;9137;4672;13864;7361;13336;7689;50234;5624;9423;17904;5613;13312;10592;8;273;100;3;4;6;7;6;1;5;7;4;6;1;1;0;1;1;0;0;0;0;1;0;0;0;1;1;1;"US";2;3;2;1;17;1920;1080;1;4;1;4;2;1;4;1;"";2;4,5;5,5;6,5;6;8;110
"19";3;1;3;9;2;9;2;7;9;2;9;3;9;3;9;3;2;9;2;9;9;1;15973;5235;14710;4117;16300;8445;8463;4879;7128;11337;5387;7068;15204;8978;6282;6423;10190;6229;10891;4013;5348;12027;24;197;125;5;4;6;7;6;2;7;3;3;7;1;1;0;1;1;0;0;0;0;1;0;0;0;1;1;1;"US";1;2;3;1;16;1366;768;1;4;2;4;2;1;4;1;"";3,5;5,5;5;4,5;6,5;8;111
"20";6;2;3;3;2;3;7;7;8;8;6;6;1;7;6;3;6;6;6;7;1;7;16119;15130;7384;5026;12170;6406;8248;6890;7892;8232;10905;6174;7314;5850;8594;5812;7346;7284;8308;5642;5874;6266;2;182;154;2;3;6;6;3;5;6;7;6;3;1;1;1;1;1;0;0;0;0;1;0;0;1;1;1;1;"US";3;1;1;1;46;1024;819;1;6;1;4;1;1;2;1;"Accounting";3,5;4,5;6;6,5;3;10;103
"21";2;4;1;5;4;9;1;8;9;2;9;5;7;2;7;3;1;6;2;9;4;2;13656;6390;4360;3296;5024;5124;10962;6820;8296;4446;4968;3914;8296;3954;7922;7242;6078;9758;5812;3742;5944;7626;2;145;108;3;2;7;4;3;3;6;7;2;5;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;"US";2;3;1;1;34;1024;768;1;2;1;4;2;1;3;1;"";3;4;3;7;4;14;96
"22";6;5;6;1;6;3;3;1;7;5;4;6;1;6;3;9;6;7;5;5;1;5;9588;3968;8395;2824;11303;4181;6877;3248;4010;4988;5197;4354;6183;4971;4111;6060;4594;5306;6143;4052;2183;3367;221;118;96;3;6;5;4;6;1;4;2;1;7;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;"US";2;2;1;2;15;1366;768;1;4;1;4;2;1;4;1;"";2;5;2,5;3,5;6,5;14;90
"23";4;1;3;8;3;5;3;4;7;2;7;3;8;3;6;2;4;9;3;6;7;1;8084;2707;5412;6493;4926;13203;5559;3467;2989;5892;5588;3761;5758;5622;12471;4225;4971;5770;6542;3672;3331;4190;2;126;73;2;3;5;6;7;1;4;3;3;6;1;1;1;1;1;0;0;0;0;1;0;0;1;1;1;1;"US";1;2;2;1;16;1366;768;1;1;2;1;2;1;4;1;"";1,5;3,5;4,5;4;6,5;10;94
"24";3;3;3;8;3;6;6;3;7;5;7;6;3;7;2;7;8;8;3;7;5;5;34470;15813;14615;23592;18605;16645;16680;11601;13636;19614;16648;10331;35419;18570;14399;16849;16999;12221;16014;13675;12872;14170;4;1275;16;3;4;6;2;5;2;5;6;2;2;1;1;0;1;1;0;0;0;0;1;0;0;1;1;1;1;"US";3;3;1;1;49;360;640;1;6;1;4;1;2;7;1;"industrial science ";2,5;4,5;2;6;3,5;9;109
"25";5;1;1;9;2;8;2;6;9;1;9;5;8;3;5;1;2;9;1;8;9;1;17663;2952;14842;5252;15787;11034;10244;7266;2802;10204;4638;2915;12097;5093;8739;5628;7263;5303;8074;5025;5329;7201;3;178;94;6;1;2;7;7;3;3;2;7;7;1;1;1;1;1;0;0;0;0;1;0;0;1;1;1;1;"US";1;2;2;1;15;768;1024;1;12;2;4;2;1;2;1;"";4,5;2;7;2;7;10;99
"26";1;1;2;9;2;9;2;8;8;1;8;1;8;2;7;1;1;8;2;8;7;2;7568;4402;14809;1988;10923;7574;4602;5303;4413;8354;7551;5034;123514;4599;7125;8244;5035;49879;10038;5336;4078;8958;60;311;108;6;3;3;3;5;5;3;2;4;5;1;1;0;1;1;0;0;0;0;1;0;0;1;1;1;1;"US";2;2;1;1;14;1600;900;1;1;3;5;2;1;2;1;"";5,5;3;3,5;2,5;5;9;96
"27";2;1;1;8;2;6;2;7;9;2;8;3;7;3;9;2;1;9;1;8;8;1;14207;5569;18948;9731;195792;12080;6493;18825;46052;7416;7862;10047;11347;12592;8591;61662;16187;151130;10210;11470;9234;15002;12;665;149;3;3;7;3;6;2;5;6;3;6;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;"US";1;2;2;1;15;534;854;2;1;4;4;2;1;2;1;"";2,5;4;3;6,5;6;13;97
"28";5;2;5;9;4;8;3;8;9;3;8;3;8;5;8;2;2;8;3;8;8;3;12594;6410;8693;3841;12611;10757;14586;8274;8746;11209;8159;4610;9705;5599;10547;6986;8542;4033;6363;3229;4876;5448;9;177;108;1;3;1;7;5;1;4;3;6;5;1;1;1;1;1;0;0;0;0;1;0;0;1;1;1;1;"US";2;3;2;1;21;1366;768;2;2;3;4;2;1;3;1;"Graphic Design";1;3,5;6,5;2;5;10;115
"29";6;2;4;9;5;8;3;9;9;6;9;3;8;6;5;3;2;8;3;8;7;3;21212;9902;18390;7820;13854;11455;15154;5524;5602;18030;10484;7466;23687;13649;13782;7865;24425;8021;11244;7530;15301;31684;2;309;451;5;4;6;4;7;3;6;5;1;5;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;"US";2;2;1;1;19;1280;768;1;4;1;5;1;1;3;1;"";4;5;2,5;5,5;6;14;118
"30";1;1;1;9;9;9;1;9;9;1;9;1;9;1;9;1;1;9;1;9;9;1;8266;4947;13171;3569;8643;7404;14883;5538;5780;5110;4946;3604;5090;4948;5962;5781;8389;6620;7225;5803;3400;5100;1;146;146;2;3;3;5;5;1;7;2;5;7;1;1;0;1;1;0;0;0;0;1;0;0;1;1;1;1;"US";2;2;2;1;17;1440;900;1;0;2;1;2;1;2;1;"";1,5;5;5;2,5;6;9;108
"31";5;6;5;4;5;5;5;4;6;6;4;4;4;5;5;2;6;4;5;4;5;5;15904;8499;8715;10455;13496;10228;9082;5576;9354;12958;8785;6293;11483;8238;9551;35009;18539;14607;9266;9227;6616;8402;2;252;182;3;7;5;5;4;1;5;7;2;3;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;"US";2;3;1;1;42;1440;900;1;7;4;3;2;1;3;1;"chemistry";2;6;3,5;6;3,5;6;93
"32";1;4;3;4;1;4;5;7;4;6;5;7;3;4;4;6;4;4;4;9;1;1;5307;24377;4929;3609;3096;5745;6337;4063;7865;4672;6817;3056;12289;5393;8578;3392;6377;4430;6345;3920;4489;4713;5;141;112;1;7;6;2;5;1;5;3;2;3;1;1;1;1;1;0;1;0;0;1;0;0;1;1;1;1;"US";4;1;1;1;36;1440;900;1;7;4;4;1;1;1;1;"english";1;6;2;4,5;4;11;86
"33";5;2;3;8;4;8;7;2;8;6;8;6;8;6;6;2;1;8;3;8;6;3;6772;4426;8786;4846;5710;4629;4788;2504;5355;7225;7441;3686;4750;5254;4598;5673;4202;8106;6296;3791;4394;6618;11;121;107;5;3;4;3;6;2;5;1;3;7;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;"US";3;0;1;1;49;2560;1440;1;12;1;1;1;2;2;1;"economics";3,5;4;3;2,5;6,5;13;111
"34";2;2;1;8;2;8;2;2;8;2;8;2;8;2;8;2;2;2;2;8;7;2;29277;12649;15549;10551;15633;15783;11933;22317;12000;12183;28984;8816;16867;14683;11500;15550;26684;17432;9334;10249;20964;11766;42;354;284;6;3;5;2;6;3;6;2;3;6;1;1;0;1;1;0;0;0;0;1;0;1;1;1;1;1;"US";3;2;1;1;61;320;568;1;12;1;4;1;1;3;1;"Business";4,5;4,5;2,5;3,5;6;10;86
"35";5;4;6;9;3;8;8;9;8;5;4;4;6;8;7;1;9;9;7;7;5;7;16575;8290;6748;5074;9335;7635;7414;3671;4338;6810;9111;9382;10296;7257;6095;4934;9623;4488;8285;5514;4575;5614;764;162;130;2;2;6;4;6;2;3;5;7;7;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;"US";3;3;1;1;23;1366;768;1;1;5;5;2;1;3;1;"History";2;2,5;5,5;5,5;6,5;14;130
"36";5;1;1;9;5;8;2;9;8;1;9;2;9;2;8;1;1;9;2;7;9;2;8922;4152;4136;3911;19165;6424;6098;3124;3737;5720;49729;3447;5545;99876;6329;42982;3105;2919;3817;3217;3191;3281;633;294;138;1;3;5;6;7;1;3;3;3;3;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;"US";3;2;1;1;24;1366;768;1;1;1;4;2;1;3;1;"Criminology";1;3;4,5;4;5;13;104
"37";1;1;1;9;1;8;1;7;9;2;9;1;9;1;9;1;1;9;1;9;8;1;10057;3202;4041;4136;8581;20759;8630;6972;9304;5548;16708;6201;6812;3501;8590;3369;12580;6261;5992;2248;6435;3792;339;165;138;6;3;6;5;6;6;6;6;2;5;1;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1;"US";2;3;2;1;17;1366;768;1;1;3;4;2;1;2;1;"";6;4,5;3,5;6;5,5;12;97
"38";1;1;1;9;1;3;1;9;6;1;9;2;7;1;7;1;1;9;1;9;9;1;6052;3487;5808;5440;4608;29400;9896;5048;15512;7328;5928;9736;19495;6703;21705;5311;7744;6864;8024;4361;3880;4640;6;199;152;1;1;7;2;7;1;4;6;2;7;1;1;0;1;1;0;1;1;0;1;1;0;1;1;1;1;"US";4;1;1;1;28;1280;1024;1;9;1;4;1;1;2;1;"statistics";1;2,5;2;6,5;7;12;88
"39";5;1;1;9;1;9;1;9;9;1;9;2;9;1;5;1;1;9;1;9;9;1;18355;2292;14408;4392;55385;8056;9763;5281;5520;7431;4804;5603;14741;5774;11567;7796;9330;13220;8418;5853;2399;6212;22;228;962;3;5;7;5;7;5;5;1;5;7;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;"US";2;2;2;1;14;768;1024;1;2;2;4;2;1;3;1;"";4;5;5;4;7;12;97
"40";2;1;1;9;2;8;2;4;7;3;8;2;8;3;7;1;2;9;2;8;8;1;20156;8930;9149;8719;28467;27253;12564;21971;18669;21885;8400;8071;21330;12452;11908;8742;21585;15868;20302;11468;8918;6767;4;351;169;1;7;7;1;6;1;2;6;3;6;1;1;1;1;1;0;0;0;0;1;0;0;1;1;1;1;"US";1;2;1;1;16;320;568;1;9;1;4;2;1;3;1;"";1;4,5;2;6,5;6;10;95
"41";2;1;1;8;1;9;1;8;9;1;9;1;9;1;9;1;1;9;1;8;9;1;4565;2387;4988;2501;6326;4695;7424;2984;2983;3468;9167;3378;5261;4896;7013;5180;4815;7481;5485;5537;3742;4387;2;110;246;6;2;5;5;7;5;5;3;5;7;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;"US";2;2;2;1;26;1440;900;1;2;2;4;2;1;3;1;"linguistics";5,5;3,5;5;4;7;13;97
"42";4;1;6;5;6;2;6;6;7;6;6;6;2;5;6;5;6;9;4;4;4;6;19649;6528;10652;4804;31912;6976;13449;9576;6394;6908;7779;4950;9055;9415;9838;8411;8576;14701;13328;18429;5509;6780;15;236;194;1;3;6;6;3;4;3;5;3;5;1;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1;"US";4;2;2;1;33;360;640;3;6;1;4;1;2;1;1;"history";2,5;3;4,5;5,5;4;12;107
"43";8;6;9;2;9;7;6;3;3;8;2;7;2;9;2;7;9;6;7;1;1;8;29848;38403;26367;7135;25002;15117;13370;6999;38004;9349;16267;8436;17948;10638;14817;19718;14551;16752;16835;7000;7151;11601;948;377;509;2;2;3;3;6;1;5;2;1;7;1;1;0;1;1;0;1;0;0;1;0;0;0;1;1;1;"US";1;3;2;1;15;320;568;1;4;1;4;2;1;3;1;"";1,5;3,5;2;2,5;6,5;9;108
"44";3;1;2;9;3;8;1;5;7;2;8;7;9;7;8;2;7;8;5;8;8;2;8576;4569;25207;39831;8289;6158;19005;4537;8821;10293;15088;6597;8577;11179;6657;6527;8859;5421;7009;5154;5374;5661;3;228;153;2;6;7;6;6;2;7;2;3;7;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;"US";3;2;2;1;64;1366;768;1;12;1;4;1;1;3;1;"education";2;6,5;4,5;4,5;6,5;12;116
"45";1;9;2;8;1;9;3;8;9;4;9;7;8;2;8;2;2;8;3;8;8;2;31315;11524;18076;11628;14792;13250;25783;15371;14662;23176;31385;11322;14148;19190;16320;11100;26901;13803;41300;10245;9142;16780;2;411;404;2;6;7;4;6;1;5;7;2;7;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;"US";3;3;1;1;69;600;960;1;2;1;4;1;2;1;1;"education";1,5;5,5;3;7;6,5;13;111
"46";1;1;1;9;1;9;1;8;1;2;9;2;8;2;9;1;1;9;1;9;7;1;13855;4058;22823;4254;5962;6168;9112;5954;5944;6996;6158;5279;9882;6711;6897;5787;9681;4825;7802;3120;5151;6310;553;165;129;1;3;7;6;5;7;3;7;5;6;1;1;1;1;1;0;0;0;0;1;0;0;1;1;1;1;"US";2;3;2;1;44;1366;768;1;7;2;4;1;2;5;1;"";4;3;5,5;7;5,5;10;91
"47";2;2;1;9;2;9;1;8;8;2;9;6;9;3;5;7;1;8;3;8;8;1;9367;9215;9954;7378;10753;9943;11396;10295;6946;6806;12344;8135;10827;15125;8699;4961;12189;21576;11194;5846;7009;7414;22;219;167;2;4;5;1;6;2;3;3;2;4;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;"US";3;1;2;1;41;802;534;1;12;1;4;2;1;2;1;"economics";2;3,5;1,5;4;5;13;108
"48";6;5;4;9;7;9;8;1;6;5;7;3;8;7;6;6;5;7;6;6;3;7;24535;8811;10469;5524;11144;10046;10080;4867;8056;7551;7873;4401;15788;8028;10339;9935;7396;8520;48396;8914;13715;8422;3;254;133;2;1;5;6;5;1;3;2;6;1;1;0;0;1;1;0;0;0;0;1;0;0;0;1;1;1;"US";2;3;1;1;16;320;570;1;1;1;1;2;1;3;1;"";1,5;2;6;3,5;3;7;120
"49";2;1;2;4;2;5;4;6;7;3;7;5;4;3;3;4;2;7;4;3;4;3;16088;7511;8496;6468;10928;9592;11784;7257;6719;11305;6993;5840;13192;8081;11703;8160;10352;6603;28695;5105;5615;6672;5;214;181;5;4;3;2;5;5;3;4;3;4;1;1;1;1;1;0;1;0;0;1;0;0;1;1;1;1;"US";4;2;1;1;44;1920;1080;1;4;1;4;1;2;2;1;"Business";5;3,5;2,5;3,5;4,5;11;82
"50";6;5;9;2;4;5;9;9;6;9;4;9;1;9;1;5;9;2;6;5;1;9;19296;10997;9800;6911;15436;9189;10369;6461;9751;8876;9770;6820;10653;17243;8512;9813;8822;10205;10335;9519;5877;7856;6;225;251;2;6;7;3;4;1;6;5;2;4;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;"US";4;3;1;1;29;640;360;1;12;1;1;2;2;2;1;"History";1,5;6;2,5;6;4;13;114
"51";1;1;1;1;1;5;1;6;8;1;8;1;9;3;6;1;1;9;1;9;9;1;9226;3389;2993;3011;7042;11787;4757;27066;6009;4148;5006;2387;12472;14058;6508;3565;7725;7615;8966;8111;2448;7414;1;169;120;2;1;3;5;6;3;4;3;7;5;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;"US";2;3;3;1;16;1366;768;3;2;5;5;2;1;3;1;"";2,5;2,5;6;3;5,5;3;82
"52";2;2;2;8;2;9;1;9;9;1;9;4;8;2;9;1;9;9;5;4;6;2;66528;3751;8368;4684;8756;10446;6241;3455;4618;4071;8991;23193;6599;4216;12360;9639;6088;4136;17087;4293;11032;6228;17;236;129;4;2;7;1;7;3;2;6;2;6;1;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;"US";3;3;1;1;24;1440;900;1;1;1;4;2;1;1;1;"Architecture";3,5;2;1,5;6,5;6,5;11;109
"53";6;2;1;9;4;9;3;7;8;3;8;3;8;3;8;1;1;9;4;8;8;2;13822;9922;7224;5575;11415;7295;7924;3887;5905;5411;5302;10208;4953;5518;6639;4132;7450;51803;12091;3083;8232;7580;8;208;307;5;2;6;1;7;5;1;7;7;6;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;"US";2;1;1;1;17;1366;768;1;12;1;4;2;1;3;1;"";5;1,5;4;6,5;6,5;4;107
"54";6;1;1;8;2;8;2;8;9;6;9;3;8;1;8;1;1;8;2;6;8;2;15490;6824;9849;8133;17788;13539;11189;8316;8104;12308676;8585;7502;11009;5794;7311;8187;7714;4508;10326;7322;5386;9205;3;12503;165;5;6;3;5;7;6;6;5;5;3;1;1;1;1;1;0;0;1;0;1;0;0;1;1;1;1;"US";3;2;1;1;56;1280;720;1;1;1;4;2;2;3;1;"Political Science";5,5;6;5;4;5;11;101
"55";6;1;3;8;2;8;8;9;9;8;3;3;2;8;8;1;9;8;8;9;2;7;38549;7704;53128;6875;25209;13969;19127;6234;7704;14751;30955;12375;19705;11922;18736;12016;12598;9829;23517;5860;18298;30017;55;403;277;5;2;6;7;7;5;7;3;1;6;1;1;0;1;1;0;0;1;0;1;0;0;0;1;1;1;"US";2;2;1;1;22;1301;731;1;3;1;4;2;1;3;1;"";5;4,5;4;4,5;6,5;9;123
"56";2;1;2;9;4;9;2;7;9;2;9;1;9;1;9;1;1;9;1;9;9;1;25666;7254;13306;5585;24555;15756;12293;58073;10623;12075;6520;12855;21200;7348;15257;5569;16349;5210;8143;7083;6880;9282;35;309;168;1;6;3;7;7;1;7;6;7;7;1;1;0;1;1;0;0;0;0;1;0;0;1;1;1;1;"US";1;2;2;1;14;1280;800;1;1;2;4;2;1;2;1;"have not attended yet";1;6,5;7;4,5;7;9;104
"57";1;1;5;8;1;9;1;7;8;4;7;1;8;2;8;1;1;9;1;8;4;1;4313;2039;4032;3790;3206;4368;11147;3612;4992;4020;6588;3012;4057;5591;4369;3336;4055;3469;3899;3036;3216;2927;2;94;64;1;1;6;7;7;1;1;3;7;2;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;"US";2;2;1;1;18;1920;1080;1;2;1;1;2;1;2;1;"";1;1;7;4,5;4,5;13;94
